Run	mst	cse	cbs	cyd	metC	cysM	cysK	malY	yhaO	yhaM	decR	iscS	fn0625	fn1055	fn1220	fn1419	mgl	tnaA	dsrA	dsrB
SRR848980	1	7	1	3	0	1	68	8	0	28	2	25	6	3	2	61	66	61	18	11
SRR848981	2	14	3	0	2	5	57	11	0	3	3	63	6	2	6	30	54	45	16	7
SRR848982	0	8	0	0	3	0	18	2	4	3	0	21	1	0	3	6	15	32	14	6
SRR848983	26	92	48	16	21	57	472	127	74	184	15	170	57	30	66	105	221	218	10	34
SRR848984	1	13	1	1	0	8	123	6	1	27	0	84	9	6	14	101	143	39	34	16
SRR848985	2	14	6	3	2	4	46	2	5	4	1	67	9	5	8	5	24	20	31	35
SRR848986	12	10	11	20	16	16	223	51	18	47	1	77	20	3	21	33	86	55	2	2
SRR848987	6	32	9	7	9	34	276	23	5	32	0	742	20	12	30	96	180	65	211	237
SRR848988	3	21	17	2	1	23	95	6	7	15	0	125	4	6	8	14	40	5	132	189
SRR848989	0	1	0	2	1	0	12	0	0	6	0	15	0	0	0	0	7	3	0	2
SRR848990	1	13	4	2	0	1	29	5	4	5	0	53	10	5	7	10	21	11	16	19
SRR848991	4	27	8	8	6	13	155	15	6	41	7	132	21	7	14	21	58	70	52	54
SRR848992	1	5	3	2	0	3	32	1	0	13	0	32	4	1	12	12	19	28	23	4
SRR848993	2	2	1	0	2	1	16	0	0	5	0	3	4	0	1	5	6	2	25	60
SRR848994	1	9	6	2	1	3	27	2	1	17	1	19	5	0	2	3	17	8	43	41
